1,シャケトラ,田辺
2,ラブラドライト,酒井
3,キタサンブラック,武豊
4,スピリッツミノル,幸
5,ファタモルガーナ,浜中
6,シュヴァルグラン,福永
7,アルバート,川田
8,タマモベストプレイ,吉田隼
9,ディーマジェスティ,蛯名
10,アドマイヤデウス,岩田
11,プロレタリアト,杉原
12,ゴールドアクター,横山典
13,トーセンバジル,四位
14,ワンアンドオンリー,和田
15,サトノダイヤモンド,ルメール
16,レインボーライン,Ｍデムーロ
17,ヤマカツライデン,松山
